sector,alojamiento_formal,gastronomia_bar,vivienda_turistica,avaluo_ph_m2,total_puntos,nodo,perfil
0,1,1,7,5503741.97,9,0-2,Turístico secundario
ACACIAS USAQUEN,0,0,13,3900280.1625,13,0-1,"Residencial de alta renta, turismo incipiente"
ALCAZARES,1,0,114,2453348.8403333332,115,0-0,Residencial ordinario
ALFONSO LOPEZ,1,0,37,4450600.1899999995,38,0-2,Turístico secundario
ANDES NORTE,0,0,4,5502180.346666667,4,0-2,Turístico secundario
ANTIGUO COUNTRY,1,0,124,4971290.234197531,125,1-2,Foco turístico emergente
ARMENIA,4,0,36,3398296.24,40,0-1,"Residencial de alta renta, turismo incipiente"
ATENAS,0,0,4,3424607.84,4,0-1,"Residencial de alta renta, turismo incipiente"
AUTOPISTA MEDELLIN,0,1,3,3398296.24,4,1-0,Residencial ordinario
AUTOPISTA SUR,0,0,3,3239166.03,3,0-1,"Residencial de alta renta, turismo incipiente"
BANCO CENTRAL,1,0,22,5037340.77,23,0-2,Turístico secundario
BAQUERO,1,0,6,3226729.875,7,0-1,"Residencial de alta renta, turismo incipiente"
BARRANCAS,0,0,5,2904987.565,5,0-1,"Residencial de alta renta, turismo incipiente"
BATAN,0,1,29,4689800.248461539,30,0-2,Turístico secundario
BAVARIA,0,1,3,2851384.62,4,1-0,Residencial ordinario
BELALCAZAR,3,0,25,5246996.039090909,28,0-2,Turístico secundario
BELEN,0,0,3,3398296.24,3,0-1,"Residencial de alta renta, turismo incipiente"
BELLA SUIZA,2,0,26,4530342.894347826,28,0-2,Turístico secundario
BELLAVISTA,3,0,11,3996064.9257142856,14,0-1,"Residencial de alta renta, turismo incipiente"
BELLAVISTA OCCIDENTAL,0,0,5,3404241.4566666665,5,0-1,"Residencial de alta renta, turismo incipiente"
BENJAMIN HERRERA,1,0,2,5462595.38,3,0-2,Turístico secundario
BOCHICA,1,0,2,3100110.86,3,0-1,"Residencial de alta renta, turismo incipiente"
BOCHICA II,0,2,1,3398296.24,3,1-0,Residencial ordinario
BOLIVIA,0,1,6,1877162.32,7,0-0,Residencial ordinario
BONANZA,0,2,5,3398296.24,7,1-0,Residencial ordinario
BOSQUE CALDERON,5,0,19,4586814.03,24,0-2,Turístico secundario
BOSQUE DE MODELIA,0,0,3,2724577.0700000003,3,0-0,Residencial ordinario
BOSQUE DE PINOS III,0,1,57,3175721.56,58,1-0,Residencial ordinario
BOSQUE POPULAR,2,0,14,3493520.265,16,0-1,"Residencial de alta renta, turismo incipiente"
BOYACA,1,0,4,3267248.23,5,0-1,"Residencial de alta renta, turismo incipiente"
BRISAS ALDEA FONTIBON,0,0,5,3398296.24,5,0-1,"Residencial de alta renta, turismo incipiente"
BRITALIA,0,2,21,2771401.1799999997,23,1-0,Residencial ordinario
CAMPANELLA,0,0,3,3398296.24,3,0-1,"Residencial de alta renta, turismo incipiente"
CAMPIN,0,0,7,3467959.93,7,0-1,"Residencial de alta renta, turismo incipiente"
CAMPIN OCCIDENTAL,4,0,25,4301332.6308695655,29,0-2,Turístico secundario
CANTAGALLO,0,1,13,3355594.99,14,1-0,Residencial ordinario
CAOBOS SALAZAR,0,1,20,3567520.05,21,1-0,Residencial ordinario
CAPELLANIA,0,0,31,4030546.6025,31,0-1,"Residencial de alta renta, turismo incipiente"
CASTILLA,0,0,4,3398296.24,4,0-1,"Residencial de alta renta, turismo incipiente"
CATALUNA,1,0,5,4551025.64,6,0-2,Turístico secundario
CEDRITOS,0,1,23,3282718.65,24,1-0,Residencial ordinario
CEDRO NARVAEZ,0,0,5,3665151.9159999997,5,0-1,"Residencial de alta renta, turismo incipiente"
CEDRO SALAZAR,0,0,12,3588012.9966666666,12,0-1,"Residencial de alta renta, turismo incipiente"
CENTRO ADMINISTRATIVO,11,0,12,3421379.5200000005,23,1-1,Polo hotelero / negocios
CENTRO FONTIBON,9,0,6,2696792.5399999996,15,1-1,Polo hotelero / negocios
CENTRO NARINO,1,0,5,3106170.2883333336,6,0-1,"Residencial de alta renta, turismo incipiente"
CHAPINERO CENTRAL,20,0,766,4180280.283869499,786,2-2,Núcleo turístico consolidado
CHAPINERO NORTE,5,0,95,4678891.9331249995,100,1-2,Foco turístico emergente
CHAPINERO OCCIDENTAL,6,0,69,3655087.3333333335,75,1-1,Polo hotelero / negocios
CHICO NORTE,27,7,311,6496217.265887446,345,2-1,Polo hotelero / negocios
CHICO NORTE II SECTOR,22,3,164,6695496.8984259255,189,2-1,Polo hotelero / negocios
CHICO NORTE III SECTOR,6,2,258,5550060.548834952,266,1-2,Foco turístico emergente
CIUDAD HAYUELOS,0,2,31,4359574.225769231,33,1-0,Residencial ordinario
CIUDAD JARDIN NORTE,0,0,6,4189405.2,6,0-1,"Residencial de alta renta, turismo incipiente"
CIUDAD KENNEDY CENTRAL,3,0,1,2493127.27,4,0-0,Residencial ordinario
CIUDAD KENNEDY NORTE,14,0,1,3398296.24,15,1-1,Polo hotelero / negocios
CIUDAD SALITRE NOR-ORIENTAL,3,5,10,3823239.1672727275,18,2-0,Foco turístico emergente
CIUDAD SALITRE SUR-ORIENTAL,1,0,10,3547368.0566666666,11,0-1,"Residencial de alta renta, turismo incipiente"
CIUDAD TECHO II,1,0,7,2552772.041428571,8,0-0,Residencial ordinario
CIUDADELA COLSUBSIDIO,0,0,4,2554464.93,4,0-0,Residencial ordinario
CLARET,1,0,2,3398296.24,3,0-1,"Residencial de alta renta, turismo incipiente"
CLUB DE LOS LAGARTOS,0,1,4,3237181.8049999997,5,1-0,Residencial ordinario
COLOMBIA,7,0,6,3038905.042857143,13,1-1,Polo hotelero / negocios
COMUNEROS,1,0,6,3517678.6859999998,7,0-1,"Residencial de alta renta, turismo incipiente"
CONCEPCION NORTE,1,0,12,3398296.24,13,0-1,"Residencial de alta renta, turismo incipiente"
