localidad,vt_2023,vt_actual,crecimiento_pct,pct_stock_vivienda,avaluo_ph_m2,alojamiento_formal,gastronomia_bar
Chapinero,1128.0,2454.0,117.6,2.619,4869689.0,160.0,31.0
Usaquén,837.0,1370.0,63.7,0.537,3806455.0,64.0,27.0
Santa Fe,521.0,863.0,65.6,1.595,5291349.0,86.0,7.0
Teusaquillo,423.0,756.0,78.7,0.955,4402294.0,209.0,8.0
Barrios Unidos,274.0,504.0,83.9,0.823,3767483.0,33.0,7.0
Suba,322.0,380.0,18.0,0.076,3182467.0,16.0,25.0
Engativá,225.0,357.0,58.7,0.113,2854561.0,45.0,26.0
Fontibón,187.0,309.0,65.2,0.2,3298085.0,75.0,14.0
La Candelaria,154.0,221.0,43.5,2.357,3193030.0,48.0,3.0
Kennedy,82.0,94.0,14.6,0.023,2502571.0,41.0,10.0
Los Mártires,39.0,76.0,94.9,0.202,6357007.0,34.0,0.0
Puente Aranda,18.0,62.0,244.4,0.067,3491557.0,8.0,5.0
Rafael Uribe Uribe,20.0,24.0,20.0,0.018,2394629.0,5.0,1.0
San Cristóbal,13.0,21.0,61.5,0.015,2300781.0,0.0,2.0
Antonio Nariño,10.0,16.0,60.0,0.053,3881908.0,3.0,5.0
Ciudad Bolívar,6.0,9.0,50.0,0.004,2652028.0,0.0,7.0
Bosa,6.0,6.0,0.0,0.002,2068415.0,8.0,2.0
Usme,3.0,4.0,33.3,0.003,1785181.0,2.0,2.0
Tunjuelito,5.0,3.0,-40.0,0.005,2628540.0,2.0,2.0
Sumapaz,,,,0.0,,,
